observable,cellline,time_m_or_h,date,ligand,replicate,value,time_minutes
total_TCR,shCTRL,0,11042026,1,Probe_1,15655,0
total_TCR,shCTRL,2,11042026,1,Probe_1,8267,120
total_TCR,shCTRL,4,11042026,1,Probe_1,5233,240
total_TCR,shCTRL,6,11042026,1,Probe_1,4901,360
total_TCR,shCTRL,10,11042026,1,Probe_1,3739,600
total_TCR,shCTRL,12,11042026,1,Probe_1,3303,720
total_TCR,shCTRL,0,11042026,1,Probe_2,15089,0
total_TCR,shCTRL,2,11042026,1,Probe_2,9036,120
total_TCR,shCTRL,4,11042026,1,Probe_2,5196,240
total_TCR,shCTRL,6,11042026,1,Probe_2,4563,360
total_TCR,shCTRL,10,11042026,1,Probe_2,3656,600
total_TCR,shCTRL,12,11042026,1,Probe_2,3413,720
total_TCR,shCTRL,0,11042026,1,Probe_3,13490,0
total_TCR,shCTRL,2,11042026,1,Probe_3,10842,120
total_TCR,shCTRL,4,11042026,1,Probe_3,5399,240
total_TCR,shCTRL,6,11042026,1,Probe_3,4871,360
total_TCR,shCTRL,10,11042026,1,Probe_3,3850,600
total_TCR,shCTRL,12,11042026,1,Probe_3,3098,720
total_TCR,shSDP2,0,11042026,1,Probe_1,19318,0
total_TCR,shSDP2,2,11042026,1,Probe_1,11887,120
total_TCR,shSDP2,4,11042026,1,Probe_1,7250,240
total_TCR,shSDP2,6,11042026,1,Probe_1,9566,360
total_TCR,shSDP2,10,11042026,1,Probe_1,4080,600
total_TCR,shSDP2,12,11042026,1,Probe_1,3570,720
total_TCR,shSDP2,0,11042026,1,Probe_2,22641,0
total_TCR,shSDP2,2,11042026,1,Probe_2,11977,120
total_TCR,shSDP2,4,11042026,1,Probe_2,7748,240
total_TCR,shSDP2,6,11042026,1,Probe_2,6276,360
total_TCR,shSDP2,10,11042026,1,Probe_2,4783,600
total_TCR,shSDP2,12,11042026,1,Probe_2,3651,720
total_TCR,shSDP2,0,11042026,1,Probe_3,19627,0
total_TCR,shSDP2,2,11042026,1,Probe_3,11747,120
total_TCR,shSDP2,4,11042026,1,Probe_3,7443,240
total_TCR,shSDP2,6,11042026,1,Probe_3,5788,360
total_TCR,shSDP2,10,11042026,1,Probe_3,4683,600
total_TCR,shSDP2,12,11042026,1,Probe_3,3828,720
total_TCR,shCTRL,0,11042026,0,Probe_1,4423,0
total_TCR,shCTRL,2,11042026,0,Probe_1,6909,120
total_TCR,shCTRL,4,11042026,0,Probe_1,3194,240
total_TCR,shCTRL,6,11042026,0,Probe_1,3359,360
total_TCR,shCTRL,10,11042026,0,Probe_1,2919,600
total_TCR,shCTRL,12,11042026,0,Probe_1,2554,720
total_TCR,shCTRL,0,11042026,0,Probe_2,4550,0
total_TCR,shCTRL,2,11042026,0,Probe_2,5166,120
total_TCR,shCTRL,4,11042026,0,Probe_2,2963,240
total_TCR,shCTRL,6,11042026,0,Probe_2,3111,360
total_TCR,shCTRL,10,11042026,0,Probe_2,3005,600
total_TCR,shCTRL,12,11042026,0,Probe_2,2777,720
total_TCR,shCTRL,0,11042026,0,Probe_3,4346,0
total_TCR,shCTRL,2,11042026,0,Probe_3,6495,120
total_TCR,shCTRL,4,11042026,0,Probe_3,2969,240
total_TCR,shCTRL,6,11042026,0,Probe_3,3389,360
total_TCR,shCTRL,10,11042026,0,Probe_3,3137,600
total_TCR,shCTRL,12,11042026,0,Probe_3,2693,720
total_TCR,shSDP2,0,11042026,0,Probe_1,6898,0
total_TCR,shSDP2,2,11042026,0,Probe_1,4883,120
total_TCR,shSDP2,4,11042026,0,Probe_1,3947,240
total_TCR,shSDP2,6,11042026,0,Probe_1,4046,360
total_TCR,shSDP2,10,11042026,0,Probe_1,3295,600
total_TCR,shSDP2,12,11042026,0,Probe_1,3932,720
total_TCR,shSDP2,0,11042026,0,Probe_2,5517,0
total_TCR,shSDP2,2,11042026,0,Probe_2,5079,120
total_TCR,shSDP2,4,11042026,0,Probe_2,3783,240
total_TCR,shSDP2,6,11042026,0,Probe_2,4146,360
total_TCR,shSDP2,10,11042026,0,Probe_2,3976,600
total_TCR,shSDP2,12,11042026,0,Probe_2,3004,720
total_TCR,shSDP2,0,11042026,0,Probe_3,4269,0
total_TCR,shSDP2,2,11042026,0,Probe_3,4519,120
total_TCR,shSDP2,4,11042026,0,Probe_3,3352,240
total_TCR,shSDP2,6,11042026,0,Probe_3,3830,360
total_TCR,shSDP2,10,11042026,0,Probe_3,4493,600
total_TCR,shSDP2,12,11042026,0,Probe_3,3026,720
surface_TCR_full,shCTRL,0,12042026,1,Probe_1,,0
surface_TCR_full,shCTRL,5,12042026,1,Probe_1,7656,5
surface_TCR_full,shCTRL,10,12042026,1,Probe_1,5896,10
surface_TCR_full,shCTRL,30,12042026,1,Probe_1,4620,30
surface_TCR_full,shCTRL,60,12042026,1,Probe_1,4209,60
surface_TCR_full,shCTRL,90,12042026,1,Probe_1,3911,90
surface_TCR_full,shCTRL,120,12042026,1,Probe_1,2710,120
surface_TCR_full,shCTRL,0,12042026,1,Probe_2,7049,0
surface_TCR_full,shCTRL,5,12042026,1,Probe_2,8068,5
surface_TCR_full,shCTRL,10,12042026,1,Probe_2,6025,10
surface_TCR_full,shCTRL,30,12042026,1,Probe_2,4561,30
surface_TCR_full,shCTRL,60,12042026,1,Probe_2,4568,60
surface_TCR_full,shCTRL,90,12042026,1,Probe_2,3662,90
surface_TCR_full,shCTRL,120,12042026,1,Probe_2,3486,120
surface_TCR_full,shCTRL,0,12042026,1,Probe_3,,0
surface_TCR_full,shCTRL,5,12042026,1,Probe_3,7194,5
surface_TCR_full,shCTRL,10,12042026,1,Probe_3,5701,10
surface_TCR_full,shCTRL,30,12042026,1,Probe_3,4202,30
surface_TCR_full,shCTRL,60,12042026,1,Probe_3,4379,60
surface_TCR_full,shCTRL,90,12042026,1,Probe_3,3906,90
surface_TCR_full,shCTRL,120,12042026,1,Probe_3,3309,120
surface_TCR_full,shSDP2,0,12042026,1,Probe_1,12690,0
surface_TCR_full,shSDP2,5,12042026,1,Probe_1,10657,5
surface_TCR_full,shSDP2,10,12042026,1,Probe_1,9122,10
surface_TCR_full,shSDP2,30,12042026,1,Probe_1,8347,30
surface_TCR_full,shSDP2,60,12042026,1,Probe_1,8190,60
surface_TCR_full,shSDP2,90,12042026,1,Probe_1,7349,90
surface_TCR_full,shSDP2,120,12042026,1,Probe_1,5924,120
surface_TCR_full,shSDP2,0,12042026,1,Probe_2,13535,0
surface_TCR_full,shSDP2,5,12042026,1,Probe_2,11090,5
surface_TCR_full,shSDP2,10,12042026,1,Probe_2,9186,10
surface_TCR_full,shSDP2,30,12042026,1,Probe_2,7858,30
surface_TCR_full,shSDP2,60,12042026,1,Probe_2,7830,60
surface_TCR_full,shSDP2,90,12042026,1,Probe_2,7129,90
surface_TCR_full,shSDP2,120,12042026,1,Probe_2,5684,120
surface_TCR_full,shSDP2,0,12042026,1,Probe_3,14159,0
